,Ship Positions,Time Values,Time to Correct,Drift Time Values,Distances Without Correction,Distances Without Correction 2
58,1753920350000,5011201,3253.5988333333335,3253.6020869321665,1138759591.6666667,1138760730.4262583
59,1784160350000,5097601,3152.7988333333333,3152.8019861321663,1103479591.6666667,1103480695.146258
60,1814400350000,5184001,3051.9988333333336,3052.0018853321667,1068199591.6666667,1068200659.8662584
61,1844640350000,5270401,2951.1988333333334,2951.2017845321666,1032919591.6666666,1032920624.5862583
62,1874880350000,5356801,2850.398833333333,2850.4016837321665,997639591.6666666,997640589.3062583
63,1905120350000,5443201,2749.5988333333335,2749.6015829321664,962359591.6666667,962360554.0262582
64,1935360350000,5529601,2648.7988333333333,2648.8014821321663,927079591.6666666,927080518.7462581
65,1965600350000,5616001,2547.9988333333336,2548.0013813321666,891799591.6666667,891800483.4662583
66,1995840350000,5702401,2447.1988333333334,2447.2012805321665,856519591.6666666,856520448.1862583
67,2026080350000,5788801,2346.398833333333,2346.4011797321664,821239591.6666666,821240412.9062582
68,2056320350000,5875201,2245.5988333333335,2245.6010789321667,785959591.6666667,785960377.6262584
69,2086560350000,5961601,2144.7988333333333,2144.8009781321666,750679591.6666666,750680342.3462583
70,2116800350000,6048001,2043.9988333333333,2044.0008773321665,715399591.6666666,715400307.0662583
71,2147040350000,6134401,1943.1988333333334,1943.2007765321666,680119591.6666666,680120271.7862583
72,2177280350000,6220801,1842.3988333333334,1842.4006757321665,644839591.6666667,644840236.5062582
73,2207520350000,6307201,1741.5988333333332,1741.6005749321664,609559591.6666666,609560201.2262583
74,2237760350000,6393601,1640.7988333333333,1640.8004741321665,574279591.6666666,574280165.9462583
75,2268000350000,6480001,1539.9988333333333,1540.0003733321664,538999591.6666666,539000130.6662582
76,2298240350000,6566401,1439.1988333333334,1439.2002725321665,503719591.6666667,503720095.3862583
77,2328480350000,6652801,1338.3988333333334,1338.4001717321667,468439591.6666667,468440060.10625833
78,2358720350000,6739201,1237.5988333333332,1237.6000709321665,433159591.6666666,433160024.8262583
79,2388960350000,6825601,1136.7988333333333,1136.7999701321664,397879591.6666666,397879989.5462583
80,2419200350000,6912001,1035.9988333333333,1035.9998693321666,362599591.6666667,362599954.2662583
81,2449440350000,6998401,935.1988333333334,935.1997685321667,327319591.6666667,327319918.9862583
82,2479680350000,7084801,834.3988333333333,834.3996677321666,292039591.6666666,292039883.7062583
83,2509920350000,7171201,733.5988333333333,733.5995669321666,256759591.66666666,256759848.4262583
84,2540160350000,7257601,632.7988333333333,632.7994661321666,221479591.66666666,221479813.1462583
85,2570400350000,7344001,531.9988333333333,531.9993653321666,186199591.66666666,186199777.8662583
86,2600640350000,7430401,431.1988333333333,431.19926453216664,150919591.66666666,150919742.58625832
87,2630880350000,7516801,330.39883333333336,330.39916373216664,115639591.66666667,115639707.30625832
88,2661120350000,7603201,229.59883333333335,229.59906293216665,80359591.66666667,80359672.02625832
89,2691360350000,7689601,128.79883333333333,128.79896213216665,45079591.666666664,45079636.746258326
90,2721600350000,7776001,27.998833333333334,27.998861332166666,9799591.666666666,9799601.466258332
